short_name,age,nationality_name,overall,club_name,height_cm,weight_kg,player_positions,potential,fifa_version,pace,shooting,passing,dribbling,defending,physic,weak_foot,skill_moves,league_level,league_name,value_eur
A. Abdi,27,Switzerland,72,Watford,182,75,"CAM, CM",73,15.0,70.0,66.0,72.0,73.0,54.0,63.0,4,3,2.0,Championship,2900000.0
A. Abdi,28,Switzerland,73,Watford,182,75,"CAM, CM",73,16.0,68.0,67.0,73.0,74.0,55.0,63.0,4,3,1.0,Championship,2900000.0
A. Abdi,29,Switzerland,73,Sheffield Wednesday,182,75,"RM, CM, LM",73,17.0,68.0,68.0,74.0,74.0,55.0,63.0,4,3,2.0,Championship,2700000.0
A. Abdi,30,Switzerland,71,Sheffield Wednesday,180,75,"RM, LM, CM",71,18.0,64.0,66.0,73.0,72.0,55.0,62.0,4,3,2.0,Championship,2200000.0
A. Abdi,31,Switzerland,70,Sheffield Wednesday,180,75,"CM, CAM",70,19.0,58.0,66.0,72.0,72.0,53.0,59.0,4,3,2.0,Championship,1500000.0
A. Abdi,25,Tunisia,65,Paris,183,73,LB,70,20.0,76.0,41.0,57.0,64.0,61.0,67.0,3,2,2.0,Ligue 2,625000.0
A. Abdi,26,Tunisia,66,Paris,183,73,LB,69,21.0,81.0,41.0,58.0,64.0,58.0,68.0,3,2,2.0,Ligue 2,1000000.0
A. Abdi,27,Tunisia,70,Caen,180,73,"RB, LB, LM",71,22.0,83.0,59.0,65.0,68.0,60.0,72.0,3,3,2.0,Ligue 2,1700000.0
A. Abdi,28,Tunisia,71,Caen,180,73,LWB,71,23.0,86.0,60.0,66.0,70.0,61.0,74.0,3,3,2.0,Ligue 2,1700000.0
A. Abdi,29,Tunisia,71,Caen,177,73,"LB, LWB, RM",71,24.0,89.0,60.0,66.0,71.0,62.0,75.0,3,3,2.0,Ligue 2,1600000.0
A. Abrashi,24,Albania,64,Grasshopper,172,70,"CDM, CM",70,15.0,69.0,48.0,60.0,62.0,56.0,76.0,3,3,1.0,Super League,450000.0
A. Abrashi,25,Albania,69,SC Freiburg,172,71,"CDM, CM",73,16.0,76.0,58.0,65.0,67.0,64.0,78.0,3,3,2.0,Bundesliga,1100000.0
A. Abrashi,26,Albania,72,SC Freiburg,172,71,"CDM, CM",75,17.0,71.0,60.0,60.0,67.0,70.0,79.0,3,3,1.0,Bundesliga,2200000.0
A. Abrashi,27,Albania,71,SC Freiburg,172,71,CDM,71,18.0,69.0,59.0,59.0,65.0,70.0,79.0,3,2,1.0,Bundesliga,2000000.0
A. Abrashi,28,Albania,71,SC Freiburg,172,71,CDM,71,19.0,65.0,59.0,59.0,65.0,70.0,77.0,2,2,1.0,Bundesliga,1900000.0
A. Abrashi,29,Albania,71,SC Freiburg,170,74,"CDM, CM",71,20.0,64.0,55.0,58.0,65.0,70.0,76.0,2,2,1.0,Bundesliga,2000000.0
A. Abrashi,30,Albania,71,SC Freiburg,172,76,"CDM, CM",71,21.0,64.0,54.0,57.0,64.0,70.0,76.0,2,2,1.0,Bundesliga,1600000.0
A. Abrashi,31,Albania,70,Grasshopper,172,74,"CDM, CM",70,22.0,54.0,50.0,56.0,61.0,68.0,76.0,2,2,1.0,Super League,1100000.0
A. Abrashi,32,Albania,68,Grasshopper,172,74,"CDM, CM",68,23.0,52.0,50.0,57.0,60.0,67.0,73.0,2,2,1.0,Super League,800000.0
A. Abrashi,33,Albania,62,Grasshopper,172,74,"CM, CDM",62,24.0,50.0,51.0,56.0,65.0,59.0,70.0,2,2,1.0,Super League,240000.0
A. Adomah,26,Ghana,71,Middlesbrough,185,74,"RM, RW",73,15.0,85.0,67.0,66.0,72.0,34.0,66.0,3,3,2.0,Championship,1800000.0
A. Adomah,27,Ghana,73,Middlesbrough,185,74,"RM, RW, LM",73,16.0,85.0,68.0,67.0,74.0,37.0,66.0,3,3,2.0,Championship,2900000.0
A. Adomah,28,Ghana,75,Aston Villa,182,74,"RM, LM",75,17.0,87.0,69.0,67.0,75.0,42.0,67.0,4,4,2.0,Premier League,3900000.0
A. Adomah,29,Ghana,74,Aston Villa,182,74,"RM, LM",74,18.0,87.0,67.0,67.0,73.0,42.0,67.0,3,4,2.0,Premier League,5500000.0
A. Adomah,30,Ghana,75,Aston Villa,182,74,"LM, RM",75,19.0,87.0,70.0,67.0,73.0,54.0,67.0,3,4,2.0,Premier League,6500000.0
A. Adomah,31,Ghana,72,Nottingham Forest,182,74,"RM, LM, RW",72,20.0,78.0,69.0,67.0,71.0,54.0,66.0,3,3,2.0,Premier League,2700000.0
A. Adomah,32,Ghana,70,Nottingham Forest,185,74,"RM, LM, RW",70,21.0,76.0,67.0,66.0,70.0,53.0,64.0,3,3,2.0,Premier League,1300000.0
A. Adomah,33,Ghana,69,Queens Park Rangers,185,74,"RM, LM",69,22.0,73.0,66.0,65.0,70.0,53.0,63.0,3,3,2.0,Championship,875000.0
A. Adomah,34,Ghana,69,Queens Park Rangers,185,74,"RM, RWB",69,23.0,72.0,65.0,66.0,71.0,62.0,63.0,3,3,2.0,Championship,650000.0
A. Adomah,35,Ghana,67,Queens Park Rangers,185,74,"RM, RWB",67,24.0,68.0,64.0,65.0,69.0,61.0,59.0,3,3,2.0,Championship,425000.0
A. Ajeti,20,Switzerland,66,Basel,184,83,"CB, RB",78,15.0,74.0,35.0,55.0,53.0,63.0,77.0,3,2,1.0,Super League,500000.0
A. Ajeti,17,Switzerland,61,Basel,182,75,ST,68,15.0,74.0,59.0,45.0,61.0,29.0,59.0,3,2,1.0,Super League,190000.0
A. Ajeti,18,Switzerland,64,Basel,183,77,ST,71,16.0,75.0,62.0,49.0,64.0,23.0,62.0,3,2,1.0,Super League,500000.0
A. Ajeti,22,Albania,68,Torino,181,76,CB,76,17.0,73.0,32.0,52.0,51.0,67.0,72.0,3,2,1.0,Serie A,1100000.0
A. Ajeti,19,Switzerland,65,St. Gallen,183,77,ST,72,17.0,73.0,62.0,49.0,64.0,23.0,62.0,3,2,1.0,Super League,675000.0
A. Ajeti,23,Albania,68,Crotone,184,83,CB,72,18.0,70.0,32.0,50.0,49.0,68.0,71.0,1,2,1.0,Serie B,975000.0
A. Ajeti,20,Switzerland,67,St. Gallen,183,77,"ST, CF, RM",74,18.0,79.0,63.0,49.0,65.0,23.0,66.0,3,2,1.0,Super League,1100000.0
